"","canceled_service","senior_citizen","spouse_partner","dependents","cellular_service","avg_call_mins","avg_intl_mins","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_bill","payment_method","months_with_company","monthly_charges"
"46","yes","no","yes","no","single_line",326,45,"fiber_optic","no","yes","no","yes","yes","no","month_to_month","yes","electronic_check",10,99.85
"47","yes","no","yes","yes","multiple_lines",382,145,"fiber_optic","yes","no","no","yes","no","yes","one_year","yes","credit_card",67,94.35
"48","no","no","yes","yes","single_line",291,78,"fiber_optic","yes","yes","no","yes","yes","no","two_year","no","bank_draft",68,95.1
"49","yes","no","no","no","multiple_lines",339,90,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",13,75
"50","no","no","no","no","multiple_lines",320,144,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",13,85.95
"51","no","no","yes","no","multiple_lines",404,165,"fiber_optic","yes","no","yes","no","yes","no","two_year","yes","credit_card",64,94.6
"52","no","no","no","no","single_line",266,93,"digital","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",12,45
"53","yes","no","no","no","single_line",195,87,"digital","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",37,64.75
"54","no","no","yes","yes","multiple_lines",395,155,"fiber_optic","yes","yes","yes","no","no","yes","two_year","yes","bank_draft",72,110.3
"55","no","no","yes","no","multiple_lines",430,93,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","bank_draft",45,107.75
"56","no","no","no","no","multiple_lines",358,143,"fiber_optic","no","no","no","yes","no","no","month_to_month","yes","bank_draft",6,87.95
"57","no","no","no","no","single_line",186,72,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","mailed_check",1,70.7
"58","no","no","no","no","single_line",343,65,"digital","yes","yes","no","yes","no","yes","month_to_month","no","bank_draft",13,67.8
"59","yes","no","no","no","single_line",367,108,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",5,69.7
"60","yes","no","no","yes","single_line",371,85,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",1,78.65
"61","no","no","no","no","multiple_lines",283,124,"fiber_optic","no","no","no","no","no","no","month_to_month","no","mailed_check",18,74.15
"62","no","no","yes","yes","single_line",251,115,"digital","no","no","yes","no","no","no","one_year","yes","bank_draft",52,50.95
"63","yes","no","no","no","single_line",430,46,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",6,84.85
"64","no","no","no","no","single_line",164,63,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","credit_card",4,82.85
"65","no","no","no","no","single_line",406,95,"fiber_optic","yes","no","yes","yes","no","no","month_to_month","yes","bank_draft",60,104.95
"66","no","no","yes","yes","single_line",347,55,"fiber_optic","yes","yes","yes","no","yes","yes","one_year","yes","bank_draft",66,103.15
"67","yes","yes","yes","no","multiple_lines",499,120,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",20,94.55
"68","yes","no","no","no","multiple_lines",375,109,"fiber_optic","no","no","no","no","no","no","month_to_month","no","bank_draft",8,84.5
"69","yes","no","no","no","single_line",332,103,"digital","yes","yes","no","no","no","no","month_to_month","yes","electronic_check",1,54.9
"70","no","no","yes","no","single_line",256,124,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",2,70.35
"71","yes","no","no","no","single_line",463,125,"fiber_optic","no","yes","yes","no","no","no","month_to_month","no","electronic_check",66,99.5
"72","no","no","yes","yes","single_line",243,88,"digital","yes","no","no","no","no","yes","one_year","yes","bank_draft",19,48.95
"73","yes","no","yes","yes","single_line",483,53,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",3,80.3
"74","yes","no","no","no","single_line",195,57,"digital","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",8,45.15
"75","yes","no","yes","yes","single_line",452,54,"fiber_optic","yes","no","yes","no","yes","no","month_to_month","yes","electronic_check",17,89.4
"76","no","no","yes","no","single_line",275,56,"digital","yes","no","no","no","no","no","month_to_month","yes","mailed_check",2,62.15
"77","yes","no","no","no","multiple_lines",431,122,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","credit_card",18,90.7
"78","yes","no","no","no","multiple_lines",308,109,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","bank_draft",8,95.65
"79","yes","no","no","no","single_line",456,35,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","bank_draft",2,70
"80","no","yes","no","no","multiple_lines",373,96,"digital","no","no","yes","yes","yes","no","two_year","yes","credit_card",30,69.1
"81","no","no","no","no","multiple_lines",363,134,"digital","yes","no","yes","yes","yes","no","two_year","no","bank_draft",54,87.1
"82","no","no","no","no","single_line",281,91,"digital","no","no","no","no","yes","yes","month_to_month","yes","credit_card",8,54.75
"83","yes","no","no","no","single_line",264,47,"fiber_optic","no","yes","yes","yes","yes","yes","one_year","yes","electronic_check",4,105.65
"84","no","no","yes","yes","multiple_lines",342,122,"digital","no","no","yes","yes","yes","no","one_year","yes","electronic_check",33,79.15
"85","no","no","no","no","multiple_lines",342,161,"digital","yes","no","no","no","no","yes","one_year","no","mailed_check",36,54.45
"86","yes","no","no","no","single_line",280,65,"fiber_optic","no","no","no","no","yes","yes","one_year","yes","bank_draft",38,70.45
"87","yes","no","yes","yes","single_line",427,105,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","bank_draft",7,69.95
"88","yes","no","no","yes","single_line",289,130,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","bank_draft",1,69.75
"89","no","no","no","no","single_line",223,124,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",2,70.35
"90","no","no","yes","no","multiple_lines",304,142,"digital","yes","no","yes","yes","no","no","two_year","no","bank_draft",65,76.15
"91","no","no","no","no","single_line",394,61,"digital","yes","yes","no","yes","no","yes","one_year","yes","electronic_check",28,59.9
"92","no","yes","no","no","single_line",398,129,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",1,70.05
"93","no","no","yes","no","single_line",255,79,"digital","yes","yes","yes","no","no","no","month_to_month","no","mailed_check",35,61
"94","no","no","yes","yes","multiple_lines",332,126,"digital","yes","no","yes","no","no","no","one_year","yes","bank_draft",56,68.75
"95","no","no","no","no","single_line",287,129,"digital","no","no","no","no","no","no","month_to_month","yes","electronic_check",4,55.9
"96","yes","no","no","no","multiple_lines",517,84,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",1,85.45
"97","no","yes","yes","no","multiple_lines",425,56,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",32,93.5
"98","yes","no","no","no","single_line",336,135,"fiber_optic","yes","no","no","no","no","yes","month_to_month","yes","credit_card",9,74.25
"99","yes","no","no","no","multiple_lines",345,102,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",23,74.95
"100","no","no","no","no","multiple_lines",403,113,"digital","yes","yes","no","yes","no","yes","two_year","no","credit_card",72,86.05
"101","no","no","yes","no","multiple_lines",228,118,"fiber_optic","no","yes","no","yes","no","no","two_year","yes","electronic_check",64,105.25
"102","no","no","no","no","single_line",235,94,"digital","yes","no","yes","no","no","yes","month_to_month","no","credit_card",5,55.8
"103","no","no","no","no","single_line",274,41,"digital","yes","no","no","yes","no","yes","month_to_month","no","mailed_check",9,64.95
"104","yes","yes","yes","no","single_line",389,67,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","electronic_check",24,93.15
"105","no","no","yes","yes","single_line",337,173,"digital","no","no","no","no","no","no","month_to_month","no","electronic_check",6,54.85
"106","no","no","no","no","single_line",268,90,"digital","no","yes","no","no","no","no","month_to_month","no","bank_draft",5,50.55
"107","yes","no","no","no","multiple_lines",415,44,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",12,84.45
"108","yes","no","yes","yes","multiple_lines",394,118,"fiber_optic","no","no","yes","yes","yes","yes","month_to_month","no","electronic_check",19,103.3
"109","no","yes","no","no","multiple_lines",405,99,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","credit_card",71,99.65
"110","no","no","yes","no","multiple_lines",325,129,"fiber_optic","yes","no","yes","no","yes","yes","one_year","no","bank_draft",40,105.75
"111","no","no","no","no","single_line",218,98,"digital","no","no","yes","no","yes","yes","month_to_month","no","mailed_check",21,61.65
"112","no","no","yes","yes","multiple_lines",327,125,"fiber_optic","yes","no","no","yes","yes","no","month_to_month","yes","bank_draft",64,86.8
"113","yes","no","yes","yes","multiple_lines",468,101,"fiber_optic","no","no","yes","no","no","no","month_to_month","yes","electronic_check",29,89.2
"114","yes","yes","no","no","multiple_lines",392,99,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",2,78.55
"115","no","no","yes","no","single_line",342,122,"digital","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",47,58.6
"116","no","no","yes","no","single_line",200,93,"digital","yes","no","no","yes","yes","yes","month_to_month","no","bank_draft",12,54.2
"117","no","no","no","no","multiple_lines",321,84,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","credit_card",9,75.2
"118","no","no","yes","yes","single_line",279,138,"digital","no","yes","yes","no","yes","yes","month_to_month","yes","mailed_check",10,55.55
"119","no","no","no","no","single_line",315,115,"fiber_optic","yes","yes","no","no","no","no","one_year","yes","mailed_check",55,100.9
"120","yes","yes","yes","no","multiple_lines",467,115,"fiber_optic","no","yes","yes","no","no","no","month_to_month","yes","electronic_check",55,85.45
"121","no","no","yes","no","single_line",290,108,"fiber_optic","yes","no","yes","no","no","yes","two_year","yes","bank_draft",64,99
"122","no","no","no","no","single_line",298,102,"digital","no","yes","yes","yes","yes","no","two_year","no","mailed_check",57,69.75
"123","no","no","no","no","single_line",313,107,"fiber_optic","no","no","yes","no","no","no","one_year","no","electronic_check",12,95.7
"124","no","no","no","no","multiple_lines",303,137,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",35,83.15
"125","no","no","yes","no","multiple_lines",385,158,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","yes","credit_card",72,117.15
"126","no","no","no","no","single_line",255,142,"digital","no","no","yes","yes","yes","no","month_to_month","no","electronic_check",10,54.25
"127","yes","yes","yes","no","multiple_lines",366,108,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",27,75.5
"128","no","no","yes","no","multiple_lines",272,96,"digital","no","yes","yes","yes","no","no","two_year","no","bank_draft",67,86.15
"129","no","no","yes","no","single_line",454,100,"digital","yes","no","yes","no","yes","no","one_year","yes","credit_card",47,66.05
"130","yes","no","no","no","single_line",359,108,"digital","no","yes","no","no","yes","yes","month_to_month","yes","credit_card",2,49.05
"131","no","yes","no","no","single_line",289,73,"fiber_optic","yes","yes","no","yes","yes","no","two_year","yes","bank_draft",67,92.45
"132","yes","no","no","no","single_line",260,53,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",2,87.15
"133","no","yes","no","no","multiple_lines",279,141,"fiber_optic","no","yes","no","no","no","no","one_year","yes","bank_draft",51,79.6
"134","yes","no","no","no","single_line",445,103,"digital","no","no","yes","yes","yes","no","month_to_month","yes","electronic_check",4,74.4
"135","yes","no","no","no","single_line",347,153,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",3,95.1
"136","no","yes","yes","no","single_line",314,133,"digital","yes","yes","yes","yes","no","yes","one_year","yes","bank_draft",63,84
"137","yes","no","yes","yes","single_line",180,96,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",2,89.55
"138","yes","no","no","no","single_line",292,59,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","electronic_check",2,80.75
"139","yes","yes","no","no","single_line",397,84,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,71.15
"140","no","no","yes","no","multiple_lines",380,150,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,84.05
"141","no","no","no","no","multiple_lines",417,124,"digital","no","yes","yes","yes","no","no","two_year","no","bank_draft",72,86.6
"142","no","no","yes","no","multiple_lines",429,107,"fiber_optic","yes","no","yes","no","yes","no","month_to_month","yes","electronic_check",65,104.25
"143","yes","no","no","no","multiple_lines",396,101,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,75.55
"144","no","yes","yes","yes","single_line",362,116,"fiber_optic","no","no","yes","no","no","yes","two_year","yes","electronic_check",24,96.55
"145","yes","no","no","no","single_line",311,83,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","electronic_check",1,70.4
"146","no","no","no","no","multiple_lines",428,124,"digital","no","no","no","no","yes","no","month_to_month","yes","electronic_check",15,49
"147","no","no","no","no","single_line",284,120,"digital","no","no","yes","no","yes","yes","one_year","yes","electronic_check",3,69.95
"148","no","no","yes","yes","single_line",351,95,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",22,80.15
"149","no","no","yes","yes","single_line",337,86,"digital","no","yes","no","yes","yes","yes","month_to_month","no","mailed_check",9,54.8
"150","no","no","no","no","multiple_lines",455,161,"fiber_optic","no","yes","yes","no","no","no","two_year","no","electronic_check",53,105.55
"151","no","no","yes","no","multiple_lines",374,127,"fiber_optic","yes","yes","no","yes","yes","no","month_to_month","yes","credit_card",19,88.8
"152","yes","no","yes","yes","single_line",306,56,"fiber_optic","no","yes","no","yes","yes","yes","month_to_month","yes","electronic_check",7,89.75
"153","no","no","no","no","single_line",312,71,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","mailed_check",6,85.95
"154","no","no","yes","no","multiple_lines",389,149,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",60,106.15
"155","no","no","yes","no","single_line",383,90,"digital","no","yes","no","no","no","no","month_to_month","yes","bank_draft",8,49.55
"156","no","no","yes","yes","single_line",336,75,"digital","no","no","no","no","no","no","month_to_month","no","mailed_check",6,45.5
"157","yes","no","no","no","single_line",431,76,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","electronic_check",1,80.5
"158","no","no","yes","no","multiple_lines",318,94,"fiber_optic","yes","yes","yes","yes","no","yes","two_year","no","mailed_check",62,113.95
"159","no","yes","no","no","single_line",260,136,"digital","no","no","no","no","no","yes","month_to_month","yes","electronic_check",2,44.3
"160","yes","no","no","no","multiple_lines",440,158,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","mailed_check",1,80.2
"161","no","yes","yes","no","multiple_lines",470,124,"fiber_optic","yes","no","yes","no","yes","no","one_year","yes","bank_draft",42,105.2
"162","no","no","yes","yes","single_line",319,81,"digital","yes","no","no","yes","no","no","two_year","no","bank_draft",45,54.65
"163","no","no","yes","yes","single_line",372,126,"fiber_optic","yes","no","no","yes","no","no","one_year","no","electronic_check",15,101.9
"164","yes","no","no","no","single_line",450,69,"digital","no","no","no","no","yes","no","month_to_month","no","mailed_check",1,44.4
"165","no","no","no","yes","multiple_lines",430,152,"digital","no","yes","no","no","yes","no","one_year","yes","mailed_check",44,77.55
"166","no","no","no","no","multiple_lines",399,155,"fiber_optic","no","yes","yes","no","no","no","two_year","yes","bank_draft",48,108.1
"167","no","no","no","yes","single_line",198,115,"fiber_optic","yes","no","yes","yes","yes","yes","month_to_month","no","bank_draft",9,93
"168","no","no","no","no","multiple_lines",454,144,"digital","no","no","yes","no","yes","yes","one_year","no","mailed_check",41,65
"169","no","no","yes","yes","multiple_lines",280,97,"fiber_optic","yes","no","yes","no","no","yes","two_year","yes","credit_card",65,104.3
"170","yes","no","no","no","multiple_lines",374,118,"fiber_optic","yes","yes","yes","no","yes","yes","month_to_month","yes","credit_card",67,102.95
"171","no","no","yes","yes","multiple_lines",361,159,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","yes","bank_draft",72,116.85
"172","yes","no","no","no","single_line",367,80,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",3,79.4
"173","no","no","yes","yes","multiple_lines",454,101,"digital","yes","yes","no","yes","no","no","two_year","yes","bank_draft",65,82.5
"174","no","yes","no","no","multiple_lines",347,150,"fiber_optic","no","no","yes","no","no","no","one_year","yes","bank_draft",45,102.15
"175","no","no","no","no","multiple_lines",389,110,"fiber_optic","no","no","no","yes","yes","yes","month_to_month","no","electronic_check",13,100.75
"176","no","no","yes","no","multiple_lines",401,95,"fiber_optic","no","yes","yes","no","no","no","one_year","yes","electronic_check",46,94.65
"177","no","no","yes","yes","multiple_lines",459,146,"digital","no","yes","yes","no","no","no","one_year","no","bank_draft",41,68.5
"178","yes","yes","no","no","single_line",342,91,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",15,79.4
"179","no","no","no","no","single_line",274,73,"digital","no","no","no","no","no","yes","month_to_month","yes","electronic_check",8,66.25
"180","yes","no","no","yes","single_line",453,87,"digital","yes","no","no","no","yes","yes","month_to_month","no","electronic_check",4,49.35
"181","yes","no","no","yes","multiple_lines",355,124,"digital","no","no","yes","no","yes","yes","one_year","yes","mailed_check",17,55.85
"182","no","no","no","no","multiple_lines",349,152,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",23,93.5
"183","no","no","yes","yes","multiple_lines",403,135,"fiber_optic","yes","no","no","no","yes","no","month_to_month","no","electronic_check",32,89.6
"184","yes","yes","yes","no","multiple_lines",452,107,"digital","no","yes","yes","no","yes","yes","two_year","yes","bank_draft",66,80.55
"185","yes","no","yes","yes","multiple_lines",437,84,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",49,84.5
"186","no","no","no","no","multiple_lines",371,114,"fiber_optic","yes","yes","no","no","no","no","one_year","yes","electronic_check",38,104.85
"187","yes","no","no","no","single_line",350,68,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,69.6
"188","no","yes","no","no","multiple_lines",287,124,"fiber_optic","yes","yes","no","no","no","yes","month_to_month","yes","electronic_check",50,83.4
"189","no","no","yes","no","multiple_lines",402,95,"fiber_optic","yes","yes","yes","no","yes","yes","one_year","yes","electronic_check",56,93.15
"190","yes","no","no","no","single_line",435,109,"digital","no","no","no","yes","yes","no","month_to_month","yes","electronic_check",1,52.2
"191","yes","yes","yes","no","multiple_lines",495,107,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","credit_card",8,80.65
"192","no","no","no","no","multiple_lines",320,100,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",3,76.1
"193","no","yes","no","no","single_line",326,110,"fiber_optic","no","no","yes","no","no","no","one_year","yes","bank_draft",51,94
"194","yes","yes","no","no","single_line",342,29,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","credit_card",5,75.55
"195","yes","yes","yes","no","multiple_lines",478,143,"fiber_optic","yes","yes","yes","yes","yes","no","month_to_month","no","electronic_check",48,117.45
"196","no","no","no","no","multiple_lines",420,144,"digital","yes","yes","yes","no","no","no","two_year","no","mailed_check",70,84.7
"197","no","no","no","no","multiple_lines",354,140,"digital","no","no","no","no","no","yes","month_to_month","no","mailed_check",9,59.9
"198","no","no","yes","no","single_line",426,100,"fiber_optic","yes","no","no","yes","no","yes","one_year","yes","credit_card",27,101.9
"199","no","no","no","no","multiple_lines",386,94,"digital","yes","yes","yes","yes","no","no","two_year","yes","electronic_check",68,88.15
"200","yes","no","no","no","single_line",323,97,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,69.55
"201","no","no","no","yes","multiple_lines",337,144,"digital","no","no","no","no","no","no","month_to_month","no","mailed_check",35,50.15
"202","yes","yes","no","no","single_line",339,18,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",26,91.25
"203","no","no","yes","yes","multiple_lines",416,120,"fiber_optic","no","yes","yes","yes","no","yes","two_year","yes","credit_card",65,110.8
"204","no","no","yes","no","multiple_lines",346,150,"fiber_optic","no","yes","no","no","no","no","one_year","yes","electronic_check",47,78.9
"205","yes","no","no","no","multiple_lines",390,124,"fiber_optic","no","yes","yes","yes","no","no","month_to_month","no","electronic_check",13,89.4
"206","no","no","yes","yes","single_line",260,83,"digital","yes","yes","no","no","no","yes","one_year","no","mailed_check",36,53.65
"207","no","no","yes","no","multiple_lines",354,89,"digital","yes","no","yes","yes","yes","no","one_year","no","credit_card",37,68.1
"208","no","no","yes","no","multiple_lines",358,124,"fiber_optic","yes","no","yes","no","no","no","one_year","yes","electronic_check",50,103.95
"209","no","no","yes","no","multiple_lines",254,157,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","no","credit_card",72,114.45
"210","no","yes","yes","no","multiple_lines",318,117,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",29,84.3
"211","yes","no","no","yes","multiple_lines",358,115,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","credit_card",49,75.2
"212","no","yes","no","yes","multiple_lines",308,144,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","bank_draft",33,105.35
"213","no","no","yes","yes","multiple_lines",301,61,"fiber_optic","yes","no","yes","no","no","no","two_year","yes","bank_draft",72,105.55
"214","yes","no","no","no","multiple_lines",402,147,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",26,98.35
"215","no","no","yes","no","multiple_lines",269,88,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","bank_draft",56,85.6
"216","yes","no","yes","yes","single_line",385,88,"digital","no","no","no","no","no","yes","one_year","no","credit_card",12,53.65
"217","no","no","yes","no","single_line",322,122,"digital","no","yes","yes","no","no","no","month_to_month","yes","mailed_check",8,54.75
"218","yes","no","yes","yes","single_line",433,34,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",8,94.2
"219","no","no","no","no","single_line",305,107,"digital","yes","no","yes","yes","yes","yes","one_year","yes","electronic_check",21,60.25
"220","no","no","no","no","multiple_lines",308,72,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",7,78.55
